Cooperation Complex for Metric CooperationMetric[org.bm.blaise.scio.graph.metrics.AdditiveSubsetMetric@157f0dc] and graph 0 1 0 0 0 0 0 0 0 
1 0 1 0 0 0 1 1 0 
0 1 0 1 0 0 0 0 0 
0 0 1 0 1 0 0 0 0 
0 0 0 1 0 1 1 0 0 
0 0 0 0 1 0 0 0 0 
0 1 0 0 1 0 0 1 0 
0 1 0 0 0 0 1 0 1 
0 0 0 0 0 0 0 1 0 

Subset ; Subset Size ; Altruism ; Selfish ; All Participate/Assess ; All Participate/Partial Assess ; Partial Participate/Assess
[] ; 0 ; 0.000 ; 0.000 ; 20.000 ; 20.000 ; 20.000
[1] ; 1 ; 1.000 ; 1.000 ; 20.000 ; 19.000 ; 18.000
[2] ; 1 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[3] ; 1 ; 2.000 ; 2.000 ; 20.000 ; 18.000 ; 16.000
[4] ; 1 ; 2.000 ; 2.000 ; 20.000 ; 18.000 ; 16.000
[5] ; 1 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[6] ; 1 ; 1.000 ; 1.000 ; 20.000 ; 19.000 ; 18.000
[7] ; 1 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[8] ; 1 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[9] ; 1 ; 1.000 ; 1.000 ; 20.000 ; 19.000 ; 18.000
[1, 2] ; 2 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[1, 3] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[1, 4] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[1, 5] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 6] ; 2 ; 2.000 ; 2.000 ; 20.000 ; 18.000 ; 16.000
[1, 7] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 8] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 9] ; 2 ; 2.000 ; 2.000 ; 20.000 ; 18.000 ; 16.000
[2, 3] ; 2 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[2, 4] ; 2 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[2, 5] ; 2 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[2, 6] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[2, 7] ; 2 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[2, 8] ; 2 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[2, 9] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[3, 4] ; 2 ; 2.000 ; 4.000 ; 20.000 ; 16.000 ; 14.000
[3, 5] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[3, 6] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[3, 7] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[3, 8] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[3, 9] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[4, 5] ; 2 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[4, 6] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[4, 7] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[4, 8] ; 2 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[4, 9] ; 2 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[5, 6] ; 2 ; 2.000 ; 4.000 ; 20.000 ; 16.000 ; 14.000
[5, 7] ; 2 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[5, 8] ; 2 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[5, 9] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[6, 7] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[6, 8] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[6, 9] ; 2 ; 2.000 ; 2.000 ; 20.000 ; 18.000 ; 16.000
[7, 8] ; 2 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[7, 9] ; 2 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[8, 9] ; 2 ; 2.000 ; 4.000 ; 20.000 ; 16.000 ; 14.000
[1, 2, 3] ; 3 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[1, 2, 4] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 2, 5] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 2, 6] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 2, 7] ; 3 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 2, 8] ; 3 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 2, 9] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 3, 4] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[1, 3, 5] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 3, 6] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 3, 7] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 3, 8] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 3, 9] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 4, 5] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 4, 6] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 4, 7] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 4, 8] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 4, 9] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[1, 5, 6] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[1, 5, 7] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 5, 8] ; 3 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 5, 9] ; 3 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 6, 7] ; 3 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 6, 8] ; 3 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 6, 9] ; 3 ; 3.000 ; 3.000 ; 20.000 ; 17.000 ; 14.000
[1, 7, 8] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 7, 9] ; 3 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 8, 9] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[2, 3, 4] ; 3 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[2, 3, 5] ; 3 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 3, 6] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[2, 3, 7] ; 3 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[2, 3, 8] ; 3 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[2, 3, 9] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[2, 4, 5] ; 3 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 4, 6] ; 3 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[2, 4, 7] ; 3 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 4, 8] ; 3 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 4, 9] ; 3 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[2, 5, 6] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[2, 5, 7] ; 3 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 5, 8] ; 3 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 5, 9] ; 3 ; 8.000 ; 8.000 ; 20.000 ; 12.000 ; 4.000
[2, 6, 7] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[2, 6, 8] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[2, 6, 9] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[2, 7, 8] ; 3 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[2, 7, 9] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[2, 8, 9] ; 3 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[3, 4, 5] ; 3 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[3, 4, 6] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[3, 4, 7] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[3, 4, 8] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[3, 4, 9] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[3, 5, 6] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[3, 5, 7] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[3, 5, 8] ; 3 ; 8.000 ; 8.000 ; 20.000 ; 12.000 ; 4.000
[3, 5, 9] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[3, 6, 7] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[3, 6, 8] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[3, 6, 9] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[3, 7, 8] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[3, 7, 9] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[3, 8, 9] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[4, 5, 6] ; 3 ; 2.000 ; 6.000 ; 20.000 ; 14.000 ; 12.000
[4, 5, 7] ; 3 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[4, 5, 8] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[4, 5, 9] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[4, 6, 7] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[4, 6, 8] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[4, 6, 9] ; 3 ; 4.000 ; 4.000 ; 20.000 ; 16.000 ; 12.000
[4, 7, 8] ; 3 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[4, 7, 9] ; 3 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[4, 8, 9] ; 3 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[5, 6, 7] ; 3 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[5, 6, 8] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[5, 6, 9] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[5, 7, 8] ; 3 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[5, 7, 9] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[5, 8, 9] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[6, 7, 8] ; 3 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[6, 7, 9] ; 3 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[6, 8, 9] ; 3 ; 3.000 ; 5.000 ; 20.000 ; 15.000 ; 12.000
[7, 8, 9] ; 3 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[1, 2, 3, 4] ; 4 ; 3.000 ; 9.000 ; 20.000 ; 11.000 ; 8.000
[1, 2, 3, 5] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[1, 2, 3, 6] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 2, 3, 7] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[1, 2, 3, 8] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[1, 2, 3, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 2, 4, 5] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[1, 2, 4, 6] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 2, 4, 7] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[1, 2, 4, 8] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[1, 2, 4, 9] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 2, 5, 6] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 2, 5, 7] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 5, 8] ; 4 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[1, 2, 5, 9] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[1, 2, 6, 7] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 2, 6, 8] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 2, 6, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 2, 7, 8] ; 4 ; 3.000 ; 11.000 ; 20.000 ; 9.000 ; 6.000
[1, 2, 7, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 2, 8, 9] ; 4 ; 3.000 ; 9.000 ; 20.000 ; 11.000 ; 8.000
[1, 3, 4, 5] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 3, 4, 6] ; 4 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 3, 4, 7] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 3, 4, 8] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 3, 4, 9] ; 4 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 3, 5, 6] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 3, 5, 7] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[1, 3, 5, 8] ; 4 ; 9.000 ; 9.000 ; 20.000 ; 11.000 ; 2.000
[1, 3, 5, 9] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 3, 6, 7] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 3, 6, 8] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 3, 6, 9] ; 4 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 3, 7, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[1, 3, 7, 9] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 3, 8, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 4, 5, 6] ; 4 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[1, 4, 5, 7] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 4, 5, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[1, 4, 5, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 4, 6, 7] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 4, 6, 8] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 4, 6, 9] ; 4 ; 5.000 ; 5.000 ; 20.000 ; 15.000 ; 10.000
[1, 4, 7, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[1, 4, 7, 9] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[1, 4, 8, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[1, 5, 6, 7] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 5, 6, 8] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 5, 6, 9] ; 4 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 5, 7, 8] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[1, 5, 7, 9] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 5, 8, 9] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 6, 7, 8] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[1, 6, 7, 9] ; 4 ; 6.000 ; 6.000 ; 20.000 ; 14.000 ; 8.000
[1, 6, 8, 9] ; 4 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[1, 7, 8, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[2, 3, 4, 5] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[2, 3, 4, 6] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[2, 3, 4, 7] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[2, 3, 4, 8] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[2, 3, 4, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[2, 3, 5, 6] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 3, 5, 7] ; 4 ; 6.000 ; 12.000 ; 20.000 ; 8.000 ; 2.000
[2, 3, 5, 8] ; 4 ; 8.000 ; 12.000 ; 20.000 ; 8.000 ; 0.000
[2, 3, 5, 9] ; 4 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 3, 6, 7] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 3, 6, 8] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 3, 6, 9] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[2, 3, 7, 8] ; 4 ; 4.000 ; 12.000 ; 20.000 ; 8.000 ; 4.000
[2, 3, 7, 9] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 3, 8, 9] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[2, 4, 5, 6] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 4, 5, 7] ; 4 ; 6.000 ; 12.000 ; 20.000 ; 8.000 ; 2.000
[2, 4, 5, 8] ; 4 ; 8.000 ; 12.000 ; 20.000 ; 8.000 ; 0.000
[2, 4, 5, 9] ; 4 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 4, 6, 7] ; 4 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 4, 6, 8] ; 4 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 4, 6, 9] ; 4 ; 8.000 ; 8.000 ; 20.000 ; 12.000 ; 4.000
[2, 4, 7, 8] ; 4 ; 6.000 ; 12.000 ; 20.000 ; 8.000 ; 2.000
[2, 4, 7, 9] ; 4 ; 8.000 ; 10.000 ; 20.000 ; 10.000 ; 2.000
[2, 4, 8, 9] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[2, 5, 6, 7] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[2, 5, 6, 8] ; 4 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[2, 5, 6, 9] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 5, 7, 8] ; 4 ; 5.000 ; 13.000 ; 20.000 ; 7.000 ; 2.000
[2, 5, 7, 9] ; 4 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[2, 5, 8, 9] ; 4 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[2, 6, 7, 8] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[2, 6, 7, 9] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[2, 6, 8, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[2, 7, 8, 9] ; 4 ; 3.000 ; 11.000 ; 20.000 ; 9.000 ; 6.000
[3, 4, 5, 6] ; 4 ; 2.000 ; 8.000 ; 20.000 ; 12.000 ; 10.000
[3, 4, 5, 7] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[3, 4, 5, 8] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[3, 4, 5, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[3, 4, 6, 7] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[3, 4, 6, 8] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[3, 4, 6, 9] ; 4 ; 4.000 ; 6.000 ; 20.000 ; 14.000 ; 10.000
[3, 4, 7, 8] ; 4 ; 6.000 ; 10.000 ; 20.000 ; 10.000 ; 4.000
[3, 4, 7, 9] ; 4 ; 6.000 ; 8.000 ; 20.000 ; 12.000 ; 6.000
[3, 4, 8, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[3, 5, 6, 7] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[3, 5, 6, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[3, 5, 6, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[3, 5, 7, 8] ; 4 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[3, 5, 7, 9] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[3, 5, 8, 9] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[3, 6, 7, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[3, 6, 7, 9] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[3, 6, 8, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[3, 7, 8, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[4, 5, 6, 7] ; 4 ; 3.000 ; 9.000 ; 20.000 ; 11.000 ; 8.000
[4, 5, 6, 8] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[4, 5, 6, 9] ; 4 ; 3.000 ; 7.000 ; 20.000 ; 13.000 ; 10.000
[4, 5, 7, 8] ; 4 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[4, 5, 7, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[4, 5, 8, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[4, 6, 7, 8] ; 4 ; 7.000 ; 9.000 ; 20.000 ; 11.000 ; 4.000
[4, 6, 7, 9] ; 4 ; 7.000 ; 7.000 ; 20.000 ; 13.000 ; 6.000
[4, 6, 8, 9] ; 4 ; 5.000 ; 7.000 ; 20.000 ; 13.000 ; 8.000
[4, 7, 8, 9] ; 4 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[5, 6, 7, 8] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[5, 6, 7, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[5, 6, 8, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[5, 7, 8, 9] ; 4 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[6, 7, 8, 9] ; 4 ; 4.000 ; 8.000 ; 20.000 ; 12.000 ; 8.000
[1, 2, 3, 4, 5] ; 5 ; 4.000 ; 12.000 ; 20.000 ; 8.000 ; 4.000
[1, 2, 3, 4, 6] ; 5 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[1, 2, 3, 4, 7] ; 5 ; 4.000 ; 12.000 ; 20.000 ; 8.000 ; 4.000
[1, 2, 3, 4, 8] ; 5 ; 4.000 ; 12.000 ; 20.000 ; 8.000 ; 4.000
[1, 2, 3, 4, 9] ; 5 ; 4.000 ; 10.000 ; 20.000 ; 10.000 ; 6.000
[1, 2, 3, 5, 6] ; 5 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 3, 5, 7] ; 5 ; 5.000 ; 13.000 ; 20.000 ; 7.000 ; 2.000
[1, 2, 3, 5, 8] ; 5 ; 7.000 ; 13.000 ; 20.000 ; 7.000 ; 0.000
[1, 2, 3, 5, 9] ; 5 ; 7.000 ; 11.000 ; 20.000 ; 9.000 ; 2.000
[1, 2, 3, 6, 7] ; 5 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 3, 6, 8] ; 5 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 3, 6, 9] ; 5 ; 5.000 ; 9.000 ; 20.000 ; 11.000 ; 6.000
[1, 2, 3, 7, 8] ; 5 ; 3.000 ; 13.000 ; 20.000 ; 7.000 ; 4.000
[1, 2, 3, 7, 9] ; 5 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 3, 8, 9] ; 5 ; 3.000 ; 11.000 ; 20.000 ; 9.000 ; 6.000
[1, 2, 4, 5, 6] ; 5 ; 5.000 ; 11.000 ; 20.000 ; 9.000 ; 4.000
[1, 2, 4, 5, 7] ; 5 ; 5.000 ; 13.000 ; 20.000 ; 7.000 ; 2.000
